doc_id,D,sex,Points,Career Points
227,227,male,3458,3458
228,228,male,3453,3453
229,229,male,3440,3440
230,230,male,3407,3407
231,231,male,3397,3397
232,232,male,3385,3385
235,235,male,3315,3315
236,236,male,3267,3267
237,237,male,3257,3257
238,238,male,3251,3251
239,239,male,3233,3233
240,240,male,3196,3196
241,241,male,3193,3193
242,242,male,3130,3130
243,243,male,3119,3119
245,245,male,3091,3091
246,246,male,3088,3088
247,247,male,3035,3035
249,249,male,2991,2991
250,250,male,2963,2963
251,251,male,2942,2942
252,252,male,2902,2902
253,253,male,2901,2901
254,254,male,2895,2895
255,255,male,2858,2858
257,257,male,2829,2829
258,258,male,2829,2829
259,259,male,2824,2824
260,260,male,2800,2800
261,261,male,2795,2795
263,263,male,2773,2773
264,264,male,2773,2773
266,266,male,2742,2742
267,267,male,2727,2727
268,268,male,2708,2708
269,269,male,2704,2704
270,270,male,2702,2702
271,271,male,2685,2685
272,272,male,2684,2684
273,273,male,2646,2646
274,274,male,2639,2639
275,275,male,2638,2638
277,277,male,2599,2599
278,278,male,2595,2595
279,279,male,2555,2555
280,280,male,2553,2553
281,281,male,2542,2542
282,282,male,2505,2505
283,283,male,2484,2484
284,284,male,2479,2479
285,285,male,2421,2421
286,286,male,2383,2383
287,287,male,2381,2381
288,288,male,2376,2376
289,289,male,2368,2368
290,290,male,2364,2364
291,291,male,2355,2355
293,293,male,2351,2351
294,294,male,2329,2329
295,295,male,2327,2327
296,296,male,2323,2323
297,297,male,2299,2299
299,299,male,2264,2264
300,300,male,2259,2259
301,301,male,2255,2255
303,303,male,2239,2239
304,304,male,2237,2237
307,307,male,2215,2215
308,308,male,2203,2203
309,309,male,2199,2199
310,310,male,2186,2186
313,313,male,2169,2169
314,314,male,2135,2135
315,315,male,2118,2118
316,316,male,2110,2110
317,317,male,2108,2108
318,318,male,2099,2099
319,319,male,2085,2085
320,320,male,2083,2083
321,321,male,2051,2051
322,322,male,2016,2016
323,323,male,2015,2015
324,324,male,1994,1994
325,325,male,1975,1975
326,326,male,1964,1964
327,327,male,1948,1948
328,328,male,1943,1943
329,329,male,1938,1938
332,332,male,1920,1920
334,334,male,1916,1916
336,336,male,1914,1914
337,337,male,1908,1908
338,338,male,1863,1863
339,339,male,1813,1813
340,340,male,1802,1802
341,341,male,1800,1800
342,342,male,1789,1789
343,343,male,1785,1785
344,344,male,1783,1783
346,346,male,1754,1754
347,347,male,1714,1714
348,348,male,1711,1711
349,349,male,1703,1703
350,350,male,1698,1698
351,351,male,1684,1684
352,352,male,1656,1656
353,353,male,1654,1654
354,354,male,1642,1642
355,355,male,1635,1635
356,356,male,1607,1607
357,357,male,1600,1600
358,358,male,1598,1598
359,359,male,1593,1593
360,360,male,1585,1585
361,361,male,1581,1581
362,362,male,1578,1578
363,363,male,1559,1559
364,364,male,1553,1553
365,365,male,1541,1541
366,366,male,1534,1534
367,367,male,1520,1520
368,368,male,1518,1518
369,369,male,1516,1516
370,370,male,1515,1515
371,371,male,1506,1506
373,373,male,1502,1502
374,374,male,1478,1478
375,375,male,1478,1478
376,376,male,1477,1477
378,378,male,1453,1453
381,381,male,1436,1436
384,384,male,1407,1407
385,385,male,1404,1404
386,386,male,1391,1391
388,388,male,1381,1381
389,389,male,1379,1379
391,391,male,1367,1367
392,392,male,1358,1358
393,393,male,1355,1355
394,394,male,1342,1342
395,395,male,1331,1331
396,396,male,1319,1319
398,398,male,1297,1297
400,400,male,1215,1215
401,401,male,1208,1208
403,403,male,1200,1200
404,404,male,1192,1192
405,405,male,1191,1191
406,406,male,1187,1187
408,408,male,1150,1150
409,409,male,1123,1123
410,410,male,1118,1118
411,411,male,1114,1114
412,412,male,1109,1109
414,414,male,1095,1095
416,416,male,1090,1090
417,417,male,1081,1081
418,418,male,1080,1080
419,419,male,1071,1071
421,421,male,1059,1059
422,422,male,1057,1057
423,423,male,1052,1052
426,426,male,1011,1011
429,429,male,987,987
430,430,male,983,983
431,431,male,980,980
432,432,male,977,977
433,433,male,976,976
434,434,male,967,967
435,435,male,965,965
436,436,male,951,951
437,437,male,923,923
438,438,male,910,910
439,439,male,901,901
440,440,male,896,896
441,441,male,875,875
442,442,male,873,873
444,444,male,856,856
445,445,male,855,855
446,446,male,845,845
447,447,male,834,834
450,450,male,816,816
451,451,male,796,796
453,453,male,786,786
454,454,male,767,767
457,457,male,753,753
458,458,male,751,751
459,459,male,736,736
460,460,male,721,721
461,461,male,711,711
462,462,male,706,706
464,464,male,700,700
465,465,male,698,698
466,466,male,693,693
468,468,male,672,672
470,470,male,664,664
472,472,male,656,656
476,476,male,628,628
477,477,male,628,628
478,478,male,625,625
479,479,male,619,619
480,480,male,609,609
481,481,male,603,603
483,483,male,598,598
484,484,male,593,593
486,486,male,579,579
487,487,male,578,578
488,489,male,574,574
489,488,male,574,574
490,490,male,573,573
491,491,male,566,566
493,493,male,555,555
494,494,male,547,547
496,496,male,540,540
497,497,male,538,538
499,499,male,522,522
501,501,male,511,511
504,504,male,506,506
506,506,male,502,502
507,507,male,500,500
509,509,male,499,499
510,510,male,488,488
511,511,male,488,488
512,512,male,486,486
514,514,male,482,482
515,515,male,480,480
516,516,male,472,472
517,517,male,468,468
518,518,male,466,466
520,520,male,457,457
521,521,male,455,455
522,522,male,454,454
524,524,male,453,453
526,526,male,451,451
528,528,male,442,442
529,529,male,440,440
530,530,male,435,435
533,533,male,417,417
534,534,male,416,416
536,536,male,401,401
537,537,male,398,398
538,538,male,397,397
540,540,male,383,383
541,541,male,382,382
543,543,male,377,377
544,544,male,376,376
545,545,male,375,375
546,546,male,370,370
547,547,male,367,367
549,549,male,359,359
550,550,male,356,356
556,556,male,349,349
557,557,male,347,347
559,559,male,343,343
560,560,male,340,340
561,561,male,336,336
562,562,male,334,334
564,564,male,329,329
565,565,male,326,326
566,566,male,324,324
567,567,male,320,320
568,568,male,319,319
570,570,male,318,318
571,571,male,316,316
572,572,male,312,312
573,573,male,312,312
576,575,male,304,304
577,577,male,301,301
578,578,male,299,299
580,580,male,289,289
581,581,male,289,289
583,583,male,286,286
584,584,male,285,285
585,585,male,283,283
588,588,male,270,270
589,589,male,265,265
590,591,male,262,262
591,590,male,262,262
593,593,male,257,257
594,594,male,257,257
595,595,male,253,253
596,596,male,249,249
598,598,male,246,246
599,599,male,241,241
600,600,male,240,240
602,602,male,239,239
603,603,male,239,239
604,605,male,232,232
605,604,male,232,232
606,606,male,231,231
607,607,male,229,229
608,608,male,227,227
609,609,male,224,224
610,610,male,224,224
612,612,male,222,222
613,613,male,219,219
614,614,male,218,218
617,617,male,213,213
619,620,male,205,205
620,619,male,205,205
621,621,male,203,203
623,623,male,199,199
624,624,male,198,198
625,625,male,197,197
626,626,male,197,197
628,628,male,195,195
630,630,male,193,193
631,631,male,193,193
632,632,male,183,183
634,634,male,180,180
635,635,male,178,178
637,637,male,177,177
638,638,male,175,175
639,639,male,175,175
641,641,male,175,175
642,642,male,175,175
643,643,male,174,174
644,644,male,173,173
645,645,male,169,169
646,646,male,168,168
647,647,male,168,168
649,648,female,163,163
650,651,male,162,162
651,650,male,162,162
652,652,male,159,159
654,654,male,157,157
655,655,male,156,156
657,657,male,154,154
658,658,male,154,154
659,659,male,152,152
660,660,male,150,150
661,661,male,149,149
664,663,female,147,147
665,665,male,146,146
666,666,male,144,144
667,667,male,144,144
668,668,male,143,143
669,669,male,142,142
670,670,male,141,141
671,671,male,140,140
672,672,male,137,137
673,673,male,135,135
675,675,male,135,135
676,676,male,131,131
680,680,male,128,128
683,683,male,122,122
684,684,male,122,122
685,685,male,122,122
688,688,male,121,121
689,689,male,120,120
690,690,male,118,118
691,691,male,117,117
692,692,male,115,115
693,693,male,112,112
694,694,male,111,111
695,695,male,110,110
696,696,male,108,108
697,697,male,108,108
698,698,male,107,107
700,700,male,106,106
701,701,male,103,103
702,702,male,101,101
705,705,male,98,98
710,710,male,95,95
713,713,male,94,94
717,717,male,90,90
718,718,male,89,89
720,720,male,88,88
721,721,male,86,86
722,722,male,86,86
723,723,male,86,86
724,724,male,85,85
725,725,male,83,83
727,727,male,81,81
728,728,male,80,80
730,730,male,79,79
732,732,male,78,78
733,733,male,78,78
734,734,male,77,77
735,735,male,76,76
736,736,male,74,74
737,737,male,74,74
738,738,male,74,74
739,741,male,73,73
740,740,male,73,73
741,739,male,73,73
742,742,male,72,72
743,743,male,72,72
744,744,male,71,71
745,745,male,70,70
748,748,male,68,68
749,749,male,68,68
752,752,male,68,68
753,753,male,67,67
754,754,male,67,67
756,756,male,64,64
757,757,male,63,63
758,758,male,63,63
760,760,male,61,61
763,763,male,58,58
764,764,male,57,57
765,765,male,56,56
766,766,male,55,55
769,771,male,54,54
770,769,male,54,54
771,770,male,54,54
774,774,male,51,51
776,776,male,50,50
777,777,male,49,49
779,779,male,48,48
780,780,male,48,48
781,781,male,48,48
782,782,male,46,46
783,783,male,46,46
784,784,male,46,46
785,786,male,45,45
786,785,male,45,45
787,788,male,44,44
788,787,male,44,44
789,789,male,43,43
790,790,male,43,43
791,791,male,42,42
792,792,male,42,42
793,793,male,42,42
794,794,male,40,40
795,795,male,40,40
796,796,male,40,40
797,797,male,39,39
799,802,male,37,37
800,803,male,37,37
801,800,male,37,37
802,801,male,37,37
803,799,male,37,37
804,804,male,36,36
805,805,male,36,36
807,807,male,35,35
810,810,male,34,34
811,811,male,34,34
812,812,male,33,33
813,813,male,33,33
816,815,male,30,30
819,819,male,29,29
821,821,male,27,27
822,822,male,27,27
823,823,male,26,26
825,825,male,26,26
826,826,male,26,26
830,828,male,25,25
831,833,male,24,24
832,831,male,24,24
834,835,male,23,23
835,834,male,23,23
838,838,male,22,22
840,840,male,21,21
841,841,male,21,21
843,843,male,21,21
844,846,male,20,20
845,844,male,20,20
846,845,male,20,20
847,847,male,19,19
849,849,male,19,19
850,850,male,18,18
851,851,male,18,18
852,852,male,18,18
854,854,male,17,17
855,855,male,17,17
856,858,male,16,16
858,857,male,16,16
859,856,male,16,16
861,861,male,15,15
863,863,male,14,14
865,865,male,13,13
866,866,male,13,13
867,867,male,13,13
868,868,male,13,13
869,869,male,12,12
870,870,male,12,12
871,871,male,12,12
872,873,male,11,11
873,872,male,11,11
874,875,male,10,10
875,876,male,10,10
877,878,male,10,10
880,874,male,10,10
883,883,male,9,9
884,884,male,9,9
885,885,male,9,9
886,889,male,8,8
887,890,male,8,8
888,887,male,8,8
889,888,male,8,8
890,886,male,8,8
893,894,male,7,7
896,892,male,7,7
897,900,male,6,6
898,902,male,6,6
899,901,male,6,6
900,903,male,6,6
901,899,male,6,6
902,898,male,6,6
903,897,male,6,6
905,904,male,5,5
906,905,male,5,5
907,907,male,4,4
908,908,male,4,4
909,910,male,4,4
910,911,male,4,4
911,912,male,4,4
912,913,male,4,4
914,909,male,4,4
915,918,male,3,3
917,919,male,3,3
919,916,male,3,3
920,915,male,3,3
921,921,male,2,2
922,922,male,2,2
923,923,male,2,2
924,924,male,2,2
925,925,male,2,2
926,926,male,2,2
927,927,male,2,2
928,928,male,2,2
929,929,male,2,2
930,930,male,2,2
931,931,male,2,2
932,932,male,1,1
933,933,male,0,0
935,935,male,0,0
936,936,male,0,0
937,937,male,0,0
939,939,male,0,0
940,940,male,0,0
941,941,male,0,0
942,942,male,0,0
943,943,male,0,0
944,944,male,0,0
699,699,female,107,107
938,938,female,0,0
