doc_id,Gender,Career Points
336,male,1914
337,male,1908
338,male,1863
339,male,1813
340,male,1802
341,male,1800
342,male,1789
343,male,1785
344,male,1783
345,female,1760
346,male,1754
347,male,1714
348,male,1711
349,male,1703
350,male,1698
351,male,1684
352,male,1656
353,male,1654
354,male,1642
355,male,1635
356,male,1607
357,male,1600
358,male,1598
359,male,1593
360,male,1585
361,male,1581
362,male,1578
363,male,1559
364,male,1553
365,male,1541
366,male,1534
367,male,1520
368,male,1518
369,male,1516
370,male,1515
371,male,1506
372,female,1505
373,male,1502
374,male,1478
375,male,1478
376,male,1477
377,female,1458
378,male,1453
379,female,1451
380,female,1445
381,male,1436
382,female,1431
383,female,1408
384,male,1407
385,male,1404
386,male,1391
387,female,1390
388,male,1381
389,male,1379
390,female,1377
391,male,1367
392,male,1358
393,male,1355
394,male,1342
395,male,1331
396,male,1319
397,female,1304
398,male,1297
399,female,1297
400,male,1215
401,male,1208
402,female,1203
403,male,1200
404,male,1192
405,male,1191
406,male,1187
407,female,1186
408,male,1150
409,male,1123
410,male,1118
411,male,1114
412,male,1109
413,female,1096
414,male,1095
415,female,1094
416,male,1090
417,male,1081
418,male,1080
419,male,1071
420,female,1061
421,male,1059
422,male,1057
423,male,1052
424,female,1050
425,female,1050
426,male,1011
427,female,1000
428,female,1000
429,male,987
430,male,983
431,male,980
432,male,977
433,male,976
434,male,967
435,male,965
436,male,951
437,male,923
438,male,910
439,male,901
440,male,896
441,male,875
442,male,873
443,female,866
444,male,856
445,male,855
446,male,845
447,male,834
448,female,827
449,female,818
450,male,816
451,male,796
452,female,794
453,male,786
454,male,767
455,female,763
456,female,759
457,male,753
458,male,751
459,male,736
460,male,721
461,male,711
462,male,706
463,female,705
464,male,700
465,male,698
466,male,693
467,female,676
468,male,672
469,female,667
470,male,664
471,female,658
472,male,656
473,female,646
474,female,636
475,female,633
476,male,628
477,male,628
478,male,625
479,male,619
480,male,609
481,male,603
482,female,603
483,male,598
484,male,593
485,female,582
486,male,579
487,male,578
488,male,574
489,male,574
490,male,573
491,male,566
492,female,561
493,male,555
494,male,547
495,female,542
496,male,540
497,male,538
498,female,534
499,male,522
500,female,521
501,male,511
502,male,509
503,female,509
504,male,506
505,female,503
506,male,502
507,male,500
508,female,500
509,male,499
510,male,488
511,male,488
512,male,486
513,female,485
514,male,482
515,male,480
516,male,472
517,male,468
518,male,466
519,female,458
520,male,457
521,male,455
522,male,454
523,female,454
524,male,453
525,female,453
526,male,451
527,female,448
528,male,442
529,male,440
530,male,435
531,female,424
532,female,423
533,male,417
534,male,416
535,female,413
536,male,401
537,male,398
538,male,397
539,female,387
540,male,383
541,male,382
542,female,382
543,male,377
544,male,376
545,male,375
546,male,370
547,male,367
548,female,365
549,male,359
550,male,356
551,female,355
552,female,354
553,female,353
554,female,350
555,female,349
556,male,349
557,male,347
558,female,346
559,male,343
560,male,340
561,male,336
562,male,334
563,female,330
564,male,329
565,male,326
566,male,324
567,male,320
568,male,319
569,female,319
570,male,318
571,male,316
572,male,312
573,male,312
574,female,309
575,male,304
576,female,304
577,male,301
578,male,299
579,female,296
580,male,289
581,male,289
582,female,288
583,male,286
584,male,285
585,male,283
586,female,272
587,female,272
588,male,270
589,male,265
590,male,262
591,male,262
592,female,261
593,male,257
594,male,257
595,male,253
596,male,249
597,female,247
598,male,246
599,male,241
600,male,240
601,female,240
602,male,239
603,male,239
604,male,232
605,male,232
606,male,231
607,male,229
608,male,227
609,male,224
610,male,224
611,female,224
612,male,222
613,male,219
614,male,218
615,female,217
616,female,217
617,male,213
618,female,208
619,male,205
620,male,205
621,male,203
622,female,200
623,male,199
624,male,198
625,male,197
626,male,197
627,female,196
628,male,195
629,female,194
630,male,193
631,male,193
632,male,183
633,female,183
634,male,180
635,male,178
636,female,177
637,male,177
638,male,175
639,male,175
640,female,175
641,male,175
642,male,175
643,male,174
644,male,173
645,male,169
646,male,168
647,male,168
648,female,163
649,male,163
650,male,162
651,male,162
652,male,159
653,female,158
654,male,157
655,male,156
656,female,155
657,male,154
658,male,154
659,male,152
660,male,150
661,male,149
662,female,149
663,female,147
664,male,147
665,male,146
666,male,144
667,male,144
668,male,143
669,male,142
670,male,141
671,male,140
672,male,137
673,male,135
674,female,135
675,male,135
676,male,131
677,female,130
678,male,130
679,female,129
680,male,128
681,female,124
682,female,123
683,male,122
684,male,122
685,male,122
686,female,121
687,female,121
688,male,121
689,male,120
690,male,118
691,male,117
692,male,115
693,male,112
694,male,111
695,male,110
696,male,108
697,male,108
698,male,107
699,female,107
700,male,106
701,male,103
702,male,101
703,female,100
704,female,99
705,male,98
706,female,98
707,female,98
708,female,97
709,male,97
710,male,95
711,female,94
712,female,94
713,male,94
714,female,93
715,female,93
716,female,92
717,male,90
718,male,89
719,female,88
720,male,88
721,male,86
722,male,86
723,male,86
724,male,85
725,male,83
726,female,82
727,male,81
728,male,80
729,female,79
730,male,79
731,female,79
732,male,78
733,male,78
734,male,77
735,male,76
736,male,74
737,male,74
738,male,74
739,male,73
740,male,73
741,male,73
742,male,72
743,male,72
744,male,71
745,male,70
746,female,69
747,female,68
748,male,68
749,male,68
750,female,68
751,female,68
752,male,68
753,male,67
754,male,67
755,female,65
756,male,64
757,male,63
758,male,63
759,female,62
760,male,61
761,female,61
762,female,60
763,male,58
764,male,57
765,male,56
766,male,55
767,female,55
768,female,55
770,male,54
771,male,54
769,male,54
772,female,53
773,female,52
774,male,51
775,female,50
776,male,50
777,male,49
778,female,49
779,male,48
780,male,48
781,male,48
782,male,46
783,male,46
784,male,46
785,male,45
786,male,45
787,male,44
788,male,44
789,male,43
790,male,43
791,male,42
792,male,42
793,male,42
794,male,40
795,male,40
796,male,40
797,male,39
798,female,38
801,male,37
799,male,37
803,male,37
800,male,37
802,male,37
804,male,36
805,male,36
806,female,35
807,male,35
808,female,35
809,female,34
810,male,34
811,male,34
812,male,33
813,male,33
815,male,30
814,female,30
817,female,30
816,female,30
818,female,29
819,male,29
820,female,27
821,male,27
822,male,27
823,male,26
824,female,26
825,male,26
826,male,26
827,female,25
828,male,25
829,female,25
830,female,25
832,female,24
833,male,24
831,male,24
834,male,23
835,male,23
836,female,22
837,female,22
838,male,22
839,female,22
840,male,21
841,male,21
842,female,21
843,male,21
845,male,20
846,male,20
844,male,20
847,male,19
848,female,19
849,male,19
850,male,18
851,male,18
852,male,18
853,female,17
854,male,17
855,male,17
857,male,16
859,male,16
860,female,16
858,male,16
856,male,16
861,male,15
862,female,15
863,male,14
864,female,14
865,male,13
866,male,13
867,male,13
868,male,13
869,male,12
870,male,12
871,male,12
872,male,11
873,male,11
876,male,10
877,female,10
878,male,10
879,female,10
880,female,10
874,male,10
875,male,10
881,female,9
882,female,9
883,male,9
884,male,9
885,male,9
888,male,8
886,male,8
890,male,8
887,male,8
889,male,8
891,female,7
894,male,7
895,female,7
896,male,7
892,male,7
893,female,7
903,male,6
898,male,6
899,male,6
897,male,6
901,male,6
902,male,6
900,male,6
905,male,5
906,female,5
904,male,5
907,male,4
908,male,4
911,male,4
912,male,4
913,male,4
914,female,4
909,male,4
910,male,4
917,female,3
915,male,3
916,male,3
919,male,3
920,female,3
918,male,3
921,male,2
922,male,2
923,male,2
924,male,2
925,male,2
926,male,2
927,male,2
928,male,2
929,male,2
930,male,2
931,male,2
932,male,1
933,male,0
934,female,0
935,male,0
936,male,0
937,male,0
938,female,0
939,male,0
940,male,0
941,male,0
942,male,0
943,male,0
944,male,0
