unique_id,Gender,UGPA,LSAT,ZFYA
15520,male,3.6,38.0,1.8
1580,female,3.8,35.0,1.79
9245,female,3.6,37.0,1.79
15464,female,3.6,30.0,1.79
6789,male,3.8,40.0,1.78
20075,male,3.8,37.0,1.78
6166,female,3.0,41.0,1.77
5985,male,3.3,31.0,1.77
17353,female,3.3,41.0,1.77
13347,female,3.3,40.0,1.77
5257,female,3.7,48.0,1.77
13126,female,3.4,43.0,1.77
13275,female,4.1,43.0,1.77
6230,female,2.7,42.0,1.77
21366,male,2.7,48.0,1.77
6004,female,3.5,44.0,1.76
18225,female,3.0,33.0,1.76
19801,male,3.7,32.0,1.76
10918,male,3.3,40.0,1.76
12863,male,3.9,46.0,1.76
5630,female,2.5,38.0,1.76
1931,female,3.0,40.0,1.75
14825,male,3.9,45.0,1.75
5220,male,3.8,41.0,1.75
562,male,3.3,34.0,1.75
3760,male,2.9,46.0,1.74
4050,female,3.0,42.0,1.74
20943,female,3.4,43.0,1.74
643,male,3.6,25.0,1.73
3221,female,3.9,38.0,1.73
2762,male,3.5,47.0,1.73
6133,female,2.6,42.0,1.73
17653,female,3.1,27.0,1.72
7273,female,3.0,37.0,1.72
16033,male,4.0,42.0,1.71
9026,male,4.0,40.0,1.71
8046,female,4.0,45.0,1.71
839,male,3.8,40.0,1.71
5417,male,3.8,42.0,1.71
15788,male,3.9,44.0,1.71
2141,female,3.4,38.0,1.71
13379,female,2.8,41.0,1.7
21199,female,3.3,44.0,1.7
19551,female,3.2,42.0,1.7
9913,female,3.1,36.0,1.7
10091,female,3.1,40.0,1.69
11881,male,4.0,33.0,1.69
20032,female,3.9,38.0,1.69
15547,female,3.7,38.0,1.69
11232,female,3.9,25.0,1.69
9237,male,3.5,41.0,1.69
19753,male,3.2,43.0,1.68
19862,female,3.6,39.0,1.68
6283,female,3.6,34.0,1.68
17487,female,2.8,41.0,1.68
17316,male,3.4,45.0,1.68
17546,female,2.4,41.5,1.67
1129,female,3.5,43.0,1.67
13191,male,4.0,39.0,1.67
16676,female,3.3,36.5,1.67
11048,female,3.3,36.0,1.67
3624,female,2.3,33.5,1.66
1294,female,3.5,41.0,1.66
18673,male,4.0,42.0,1.66
1968,male,3.5,37.0,1.66
11266,female,3.9,40.0,1.66
1205,male,3.1,41.0,1.66
764,female,3.2,44.0,1.66
5137,male,2.4,37.0,1.66
11853,female,3.0,41.0,1.66
357,female,2.3,36.0,1.65
18924,male,3.7,41.0,1.65
3419,female,3.0,30.5,1.65
19408,male,3.9,35.0,1.65
2021,male,3.8,38.0,1.65
2042,female,2.1,39.0,1.65
17720,female,2.8,40.0,1.64
7554,female,3.4,36.0,1.64
4357,female,4.0,48.0,1.64
7580,female,3.1,39.0,1.64
12599,male,3.6,26.0,1.64
12685,female,2.7,39.0,1.63
4181,female,3.6,29.5,1.63
4908,female,3.6,39.0,1.63
21652,female,3.1,40.0,1.62
18192,female,2.8,34.0,1.62
8202,female,3.3,43.0,1.62
12311,male,3.3,40.0,1.62
17811,female,3.7,29.0,1.62
306,male,3.6,44.0,1.62
8972,female,2.9,43.0,1.61
15110,male,3.4,30.0,1.61
14312,male,3.9,47.0,1.61
8389,male,3.2,34.5,1.61
985,female,3.5,39.0,1.61
3065,female,3.2,42.0,1.61
7937,male,3.7,36.5,1.61
9399,female,3.6,40.0,1.61
3564,male,3.0,44.0,1.61
12983,female,3.8,38.0,1.6
15009,male,3.8,41.0,1.6
9254,female,3.0,42.0,1.6
13989,female,3.6,35.0,1.6
11177,male,3.2,35.0,1.6
10511,female,3.9,39.0,1.6
11170,female,3.6,34.0,1.6
5106,male,2.7,33.0,1.59
15303,male,2.7,34.0,1.59
20964,female,4.0,39.0,1.59
19229,male,2.6,39.0,1.59
3392,female,2.9,36.0,1.59
1999,female,3.4,36.0,1.59
14127,female,1.9,45.0,1.59
19791,male,3.6,31.0,1.59
7242,male,3.4,39.5,1.58
19660,female,3.3,40.0,1.57
234,female,2.6,42.0,1.57
4779,female,3.6,40.0,1.57
2723,female,3.1,42.0,1.57
11123,male,3.0,48.0,1.57
3280,female,2.4,35.0,1.57
11401,male,3.9,33.0,1.56
8866,male,3.0,39.0,1.56
18130,female,3.6,41.0,1.56
15125,female,3.7,34.0,1.55
12729,female,3.4,27.0,1.55
14998,female,3.3,44.0,1.55
19649,male,3.8,41.0,1.55
2106,female,3.8,35.0,1.55
20744,female,3.2,33.0,1.55
20518,male,3.4,40.0,1.55
1103,male,3.8,30.0,1.54
11988,female,3.5,31.0,1.54
1119,female,3.6,37.0,1.54
3385,female,3.0,34.0,1.54
17712,female,3.3,42.0,1.54
19898,male,3.6,26.5,1.54
11405,female,2.5,41.0,1.54
2577,female,3.6,45.0,1.54
7086,female,2.7,37.0,1.54
12140,female,3.3,41.0,1.53
2880,female,4.0,46.0,1.53
17418,female,3.0,38.0,1.53
13483,male,3.1,38.0,1.53
17451,female,3.1,38.0,1.53
20165,female,3.6,40.0,1.53
12998,female,3.8,38.0,1.52
3876,male,3.6,34.0,1.52
667,female,3.1,34.0,1.52
10328,female,2.7,41.0,1.52
5938,female,3.8,42.0,1.52
10256,female,2.5,37.0,1.52
21008,female,3.4,37.0,1.52
14531,male,3.2,45.0,1.51
138,female,3.3,41.0,1.51
16430,male,3.4,46.0,1.51
825,male,4.0,43.0,1.51
4919,female,2.8,37.0,1.51
5559,male,3.3,33.0,1.51
193,female,2.8,34.0,1.51
12453,male,3.6,28.0,1.51
10260,male,2.7,43.0,1.5
10858,female,3.2,42.0,1.5
17172,female,3.9,43.0,1.5
8611,female,2.7,40.0,1.49
20059,male,3.8,37.0,1.49
11018,male,3.5,32.0,1.49
20175,female,3.8,46.0,1.49
12142,male,2.8,35.5,1.49
13423,female,2.8,40.0,1.49
2796,male,3.5,38.0,1.49
9274,male,3.2,38.0,1.49
7186,female,2.6,40.0,1.49
21622,male,3.3,37.0,1.49
8964,male,3.1,36.0,1.48
3976,female,3.7,40.0,1.48
7486,female,3.5,35.5,1.48
8090,female,4.0,42.0,1.48
1371,female,3.7,44.0,1.47
20333,male,3.0,37.0,1.47
9286,male,2.6,36.5,1.47
19678,male,3.6,36.0,1.47
18238,female,3.5,32.5,1.47
961,female,3.9,35.0,1.47
8711,female,3.2,35.0,1.47
10923,male,3.5,39.0,1.47
13253,female,3.6,44.0,1.46
13149,female,3.3,42.0,1.46
15518,female,3.6,38.0,1.46
21016,female,3.6,36.0,1.46
17535,female,3.0,36.0,1.46
17950,male,4.0,39.0,1.46
15409,female,3.4,38.0,1.46
18601,male,2.8,43.0,1.46
21480,male,3.5,44.0,1.45
15965,female,3.1,34.0,1.45
15661,female,2.7,32.0,1.45
17282,female,2.8,40.0,1.45
10936,male,3.6,37.0,1.45
18333,female,3.1,42.0,1.45
16215,female,3.7,47.0,1.44
655,female,2.6,32.0,1.44
9636,male,2.7,41.0,1.44
1709,female,3.7,46.0,1.44
14429,female,4.0,40.0,1.44
14176,male,3.0,39.0,1.43
15917,female,4.0,38.0,1.43
7123,female,3.2,33.7,1.43
14705,female,3.2,35.0,1.43
7200,male,3.6,41.0,1.43
13123,male,3.0,44.0,1.43
5283,female,3.9,39.0,1.42
6940,female,2.6,39.0,1.42
3574,male,2.8,43.0,1.42
3713,male,3.6,41.0,1.41
16122,male,3.6,39.0,1.41
8191,male,3.8,36.0,1.41
2000,female,3.2,33.5,1.41
3938,male,2.8,32.0,1.41
9363,male,3.5,39.0,1.41
16560,male,3.6,37.0,1.41
7559,male,3.7,37.0,1.41
9515,female,3.6,47.0,1.41
20237,female,3.4,46.0,1.4
1530,female,3.0,44.0,1.4
16687,female,3.5,35.0,1.4
20087,male,3.8,40.0,1.4
6568,female,3.1,33.0,1.39
14034,female,3.4,35.0,1.39
11065,male,3.6,38.0,1.39
13247,female,3.3,41.0,1.39
17321,male,3.4,42.0,1.39
16762,female,2.5,37.0,1.39
4371,male,3.3,41.0,1.39
4783,male,3.6,40.0,1.39
20338,female,3.6,30.0,1.38
15302,male,3.4,29.0,1.38
6984,female,3.1,40.0,1.38
9163,male,3.5,32.0,1.38
5080,female,2.5,40.0,1.38
14291,female,3.2,40.0,1.38
21492,male,3.3,44.0,1.37
10444,female,3.6,48.0,1.37
21507,female,3.7,46.0,1.37
419,male,3.3,28.0,1.37
13599,female,3.5,44.0,1.37
21494,female,3.4,42.0,1.37
8552,male,3.6,33.0,1.37
10523,male,3.8,43.0,1.37
9369,female,3.3,41.0,1.37
2299,male,3.8,34.0,1.36
18918,female,3.2,42.0,1.36
18827,male,3.5,40.0,1.36
18583,female,3.2,36.0,1.36
8057,male,3.6,43.0,1.36
18930,female,3.3,42.0,1.36
17250,female,3.2,35.0,1.36
914,female,3.3,38.5,1.35
9361,female,2.8,37.0,1.35
11364,female,3.6,39.0,1.35
10210,female,2.8,39.0,1.34
2641,female,3.2,38.0,1.34
2120,male,3.4,36.0,1.34
828,female,2.5,41.0,1.34
10740,male,3.8,42.0,1.34
12739,male,3.3,45.0,1.34
12587,female,3.1,41.0,1.34
7440,male,3.3,41.0,1.33
20193,male,3.5,40.0,1.33
17523,female,3.1,42.0,1.33
9698,female,3.4,38.0,1.33
16857,female,3.1,36.0,1.33
1012,male,3.1,37.0,1.33
18445,female,3.0,39.0,1.33
8892,male,3.2,35.0,1.33
20761,female,3.0,33.5,1.33
899,female,3.3,38.0,1.32
10944,male,3.5,37.0,1.32
6155,male,3.5,31.5,1.32
2917,male,3.8,41.0,1.32
6917,female,2.6,35.0,1.31
6008,male,3.5,39.5,1.31
1273,female,3.6,39.0,1.31
11732,female,3.7,39.0,1.31
10406,female,3.6,42.0,1.31
4958,female,3.0,30.5,1.31
6800,female,3.4,43.0,1.31
13753,female,3.2,39.0,1.31
12979,female,3.1,45.0,1.3
19441,male,3.1,44.0,1.3
11283,female,3.8,44.0,1.3
18748,male,4.0,41.0,1.3
17330,female,2.9,32.0,1.3
11582,male,2.5,34.5,1.3
2417,male,3.9,39.0,1.3
15237,male,2.6,24.5,1.3
19635,male,3.8,38.0,1.29
12078,male,3.7,34.0,1.29
18975,male,3.1,46.0,1.29
10626,female,3.1,22.0,1.29
13229,male,3.8,42.0,1.29
19003,female,3.5,48.0,1.29
5291,female,3.4,39.0,1.29
2642,female,3.4,37.0,1.28
16911,female,2.1,32.0,1.28
21514,female,3.4,42.0,1.28
4651,female,3.9,42.0,1.28
21543,male,3.4,44.0,1.28
19059,female,3.2,39.0,1.28
1146,female,3.2,38.0,1.28
13711,male,3.4,44.0,1.28
6425,male,3.6,38.0,1.28
20532,male,3.7,45.0,1.28
21212,male,3.5,46.0,1.28
5391,female,3.8,47.0,1.27
2142,male,3.3,33.0,1.27
16807,male,3.7,38.0,1.27
2449,female,3.4,39.0,1.27
142,male,3.6,37.0,1.27
8884,male,2.8,43.0,1.27
16787,female,3.0,36.0,1.27
8609,female,2.9,34.0,1.27
14673,female,3.8,35.5,1.27
13002,male,3.3,46.0,1.27
6798,male,3.1,36.0,1.27
7852,female,3.8,40.0,1.27
20633,male,4.1,42.0,1.26
5907,female,2.8,41.0,1.26
18485,female,2.7,39.0,1.26
7865,male,3.7,42.0,1.26
14146,female,3.2,36.0,1.26
1663,male,3.8,35.0,1.26
20683,female,3.5,38.0,1.26
19828,female,2.4,37.0,1.26
6775,male,3.4,36.0,1.26
18641,male,3.5,41.0,1.26
9994,female,3.2,32.0,1.26
15257,male,2.8,26.0,1.26
13424,female,3.8,41.0,1.26
13110,female,2.9,48.0,1.26
17588,female,2.3,44.0,1.26
6600,female,3.1,31.0,1.26
15688,female,3.4,37.0,1.25
15713,male,3.4,37.0,1.25
14818,female,3.7,44.0,1.25
2985,female,3.5,42.0,1.25
3134,female,2.9,34.0,1.25
9444,male,3.4,40.0,1.25
5869,male,3.1,38.0,1.25
3603,female,2.2,26.7,1.24
21034,female,3.2,38.0,1.24
19688,female,3.2,39.5,1.24
2260,male,3.0,38.0,1.24
8481,female,2.1,43.0,1.24
9630,male,3.5,39.0,1.24
14817,female,3.8,45.0,1.24
7143,male,3.1,33.0,1.24
21530,female,3.1,45.0,1.24
7073,female,2.9,30.0,1.24
9977,female,2.9,37.0,1.24
4947,female,2.5,38.3,1.24
20992,male,3.5,36.0,1.24
20054,female,3.1,38.0,1.23
1224,female,3.5,42.0,1.23
20721,female,2.2,30.0,1.23
19126,male,3.7,46.0,1.23
11927,female,2.9,36.0,1.23
1527,female,3.7,46.0,1.23
12523,male,3.9,36.0,1.22
7724,female,3.6,42.0,1.22
493,male,3.7,42.0,1.22
254,female,3.3,42.0,1.22
12340,male,2.7,39.0,1.22
1774,female,3.1,36.0,1.22
20684,female,3.5,40.0,1.22
4594,male,3.6,38.0,1.22
675,female,3.7,47.0,1.22
948,male,3.0,41.0,1.22
12367,female,3.2,34.0,1.22
5486,female,3.5,40.0,1.21
5545,female,3.7,44.0,1.21
18409,female,3.2,46.0,1.21
11623,male,2.3,40.0,1.21
6710,female,2.9,44.0,1.21
14662,female,3.2,43.0,1.21
3698,male,3.4,37.0,1.21
11923,female,3.2,35.0,1.21
12087,female,3.2,35.0,1.21
18006,female,3.8,44.0,1.21
19092,female,3.7,39.0,1.21
20093,male,3.8,33.0,1.2
15876,female,3.7,48.0,1.2
4976,female,2.7,33.0,1.2
3534,female,2.7,43.0,1.2
13508,male,3.8,48.0,1.2
17787,male,3.2,33.0,1.2
19115,female,3.6,38.0,1.2
20952,female,3.8,47.0,1.2
15866,female,3.8,46.0,1.2
16728,female,3.1,42.0,1.2
17143,female,3.7,42.0,1.2
4818,male,3.5,39.0,1.2
9878,female,2.8,37.0,1.19
7576,male,3.2,35.0,1.19
9324,female,3.3,34.0,1.19
4873,female,3.0,42.0,1.19
21142,female,3.0,42.0,1.19
20713,male,3.4,38.0,1.19
15387,female,3.6,31.0,1.19
2938,female,3.5,43.5,1.19
5568,female,3.1,33.0,1.19
4083,female,3.5,40.0,1.18
38,female,3.6,36.0,1.18
6946,male,3.6,35.0,1.18
14708,male,3.3,41.0,1.18
10483,female,3.4,41.0,1.17
13464,female,3.4,40.0,1.17
4865,female,2.5,37.0,1.17
9821,male,3.2,30.0,1.17
21370,male,3.7,41.0,1.17
12401,male,2.7,38.0,1.17
9661,male,3.2,39.0,1.17
5008,male,3.0,37.0,1.17
13634,male,3.7,47.0,1.16
13270,female,3.6,45.0,1.16
2878,female,3.2,40.0,1.16
10583,female,2.7,39.0,1.16
8525,female,3.2,36.0,1.16
20705,male,3.6,41.0,1.16
4054,female,3.1,34.0,1.15
21112,female,3.3,37.5,1.15
10684,male,3.2,28.0,1.15
13058,male,3.8,43.0,1.15
2995,female,3.7,44.0,1.15
12830,female,3.6,47.0,1.15
2552,female,3.6,43.0,1.15
16205,female,4.0,48.0,1.14
6170,male,3.7,33.5,1.14
17158,female,3.5,42.0,1.14
11132,female,3.8,40.0,1.13
16070,female,3.2,40.0,1.13
11097,female,3.3,43.0,1.13
19361,female,3.8,43.0,1.13
3680,male,3.9,36.0,1.13
8988,male,3.6,38.0,1.13
9034,female,3.4,39.0,1.13
14525,female,3.2,40.5,1.13
8953,male,3.9,43.0,1.13
12575,male,2.5,34.0,1.12
6037,female,3.4,35.0,1.12
19909,female,2.9,31.0,1.12
21427,female,3.3,42.0,1.12
15418,male,3.6,38.0,1.12
8518,male,3.1,38.0,1.12
19195,male,3.2,38.0,1.12
2981,female,3.7,46.0,1.12
6248,male,3.7,31.0,1.12
21457,male,3.8,35.0,1.12
4369,male,3.6,42.0,1.12
2704,female,3.2,41.0,1.12
672,male,4.0,46.0,1.12
4032,male,3.3,40.0,1.11
13841,male,3.3,37.0,1.11
18228,female,3.2,31.5,1.11
15691,female,3.4,43.0,1.11
10350,female,3.4,46.0,1.11
13831,female,2.9,43.0,1.11
15633,female,3.6,45.0,1.11
7725,female,3.6,36.5,1.11
4794,female,3.1,43.0,1.11
2898,male,3.4,43.0,1.11
10761,female,3.6,41.0,1.11
4963,male,3.3,31.5,1.11
7986,male,3.7,48.0,1.11
18196,female,3.1,37.0,1.11
11721,female,3.5,41.0,1.11
13673,female,3.4,42.0,1.11
14970,male,3.5,39.0,1.1
17835,female,2.9,31.0,1.1
9968,female,2.8,31.0,1.1
16429,female,2.8,43.0,1.1
6313,male,3.7,36.0,1.1
8952,male,3.4,36.0,1.1
7629,male,3.6,36.0,1.1
6437,male,3.3,37.0,1.1
10004,male,2.4,32.0,1.1
5066,male,3.0,32.0,1.1
12520,female,3.2,38.0,1.1
1428,female,3.0,44.0,1.1
14015,female,2.5,40.0,1.1
6451,female,2.8,37.0,1.1
5184,male,2.9,32.0,1.1
6934,male,3.6,37.0,1.1
5242,female,3.7,39.0,1.09
5279,male,4.0,41.0,1.09
3415,female,3.6,39.0,1.09
13403,male,3.4,44.0,1.09
18125,male,3.9,42.0,1.09
7171,male,3.7,31.0,1.09
1789,female,2.8,36.0,1.09
19291,female,3.3,45.0,1.08
10163,female,2.9,34.0,1.08
12585,female,3.1,36.0,1.08
8402,male,3.8,39.0,1.08
8395,male,3.2,36.0,1.08
19930,male,3.1,31.0,1.08
6862,male,3.6,40.0,1.08
19400,female,3.8,40.0,1.08
19446,female,2.7,40.0,1.08
14971,female,3.0,42.0,1.07
4775,male,3.9,35.0,1.07
20305,male,3.8,42.0,1.07
15899,male,3.6,28.0,1.07
17919,male,3.5,39.0,1.07
5405,female,3.5,44.0,1.07
6867,female,2.8,35.0,1.07
16881,female,2.6,35.0,1.07
13784,male,3.3,43.0,1.07
15525,male,3.3,43.0,1.07
15567,male,3.4,44.0,1.07
3774,female,3.5,31.0,1.06
10398,female,3.7,41.0,1.06
8598,female,2.9,31.5,1.06
1734,female,3.6,42.0,1.06
10801,female,2.5,42.0,1.06
18796,male,3.3,44.0,1.06
10783,male,3.9,33.0,1.06
6234,male,3.7,32.0,1.06
6262,female,3.0,37.0,1.06
16412,female,3.3,46.0,1.05
9922,male,3.9,29.0,1.05
11791,female,3.6,43.0,1.05
9844,male,3.2,43.0,1.05
13933,female,3.3,47.0,1.05
16462,male,3.5,43.0,1.05
19393,female,3.7,37.0,1.05
7781,male,3.0,43.0,1.05
4175,female,3.0,31.0,1.05
13601,female,3.5,48.0,1.05
6501,female,3.3,40.0,1.05
9979,female,2.6,40.0,1.04
16661,female,3.1,41.0,1.04
21545,male,3.1,46.0,1.04
19502,female,3.8,38.5,1.04
8143,male,3.7,45.0,1.04
499,male,3.3,46.0,1.04
483,male,3.7,37.0,1.04
3135,female,4.0,45.0,1.04
19378,female,3.2,44.0,1.03
7360,female,3.1,40.0,1.03
20198,female,3.3,40.0,1.03
8299,female,3.8,41.0,1.03
2207,male,3.9,40.0,1.03
17382,male,3.5,40.0,1.03
7592,male,3.4,31.0,1.03
10128,male,3.1,34.0,1.03
19864,female,2.4,38.0,1.03
15785,female,3.2,38.0,1.03
17498,female,2.8,45.0,1.03
4998,female,3.5,25.0,1.03
20543,female,2.8,43.0,1.03
5118,female,2.7,40.0,1.03
12892,female,4.1,44.0,1.03
13489,male,3.4,37.0,1.02
18542,male,2.5,29.0,1.02
14962,female,2.9,36.5,1.02
2876,male,3.9,41.0,1.02
12761,male,3.3,28.3,1.02
12929,female,3.8,46.0,1.02
14234,female,3.3,38.0,1.02
1390,female,3.9,37.0,1.02
10346,female,3.1,34.0,1.02
19103,male,3.2,35.0,1.02
7617,female,3.6,38.0,1.01
4633,female,3.1,39.0,1.01
9157,male,3.4,33.0,1.01
14780,male,3.8,44.0,1.01
20141,female,4.0,45.0,1.01
1908,male,3.4,40.0,1.01
19827,female,2.9,34.0,1.01
4568,female,2.6,36.0,1.01
12393,male,2.6,38.0,1.01
7473,female,3.6,35.0,1.01
15946,male,3.7,31.0,1.01
16354,female,2.2,37.0,1.0
3819,female,3.1,37.0,1.0
8014,female,3.5,44.0,1.0
13435,female,3.3,40.0,1.0
12083,male,3.5,35.0,1.0
17875,female,3.6,44.0,1.0
12827,female,3.1,46.0,1.0
15317,female,2.8,23.0,1.0
17091,female,3.9,36.0,1.0
5466,female,3.4,40.0,1.0
15297,male,3.3,16.0,1.0
12360,female,3.5,43.0,1.0
11273,female,3.8,40.0,0.99
15475,female,3.3,34.0,0.99
936,female,2.9,38.0,0.99
13804,female,3.0,39.0,0.99
7111,female,2.4,32.0,0.99
6895,female,3.3,36.0,0.99
16624,female,3.4,41.5,0.99
17254,male,3.3,40.0,0.98
12527,female,2.9,35.0,0.98
2348,male,3.4,35.0,0.98
12008,male,3.2,38.0,0.98
10617,male,3.2,30.0,0.98
10149,male,3.0,36.0,0.98
4773,female,3.6,40.0,0.98
10173,female,3.6,30.0,0.98
1151,male,3.3,36.0,0.98
6961,male,3.5,30.3,0.97
4910,female,3.1,39.0,0.97
7965,female,3.4,45.0,0.97
955,female,3.4,36.0,0.97
18385,female,3.3,29.0,0.97
207,male,4.0,42.0,0.97
1011,female,3.5,35.0,0.97
14392,female,3.2,41.0,0.97
20174,female,3.4,43.0,0.97
14871,male,3.0,46.0,0.97
21382,male,2.4,38.0,0.97
18270,female,3.7,28.0,0.97
8242,male,2.6,46.0,0.97
3068,female,3.1,34.0,0.97
14000,female,3.7,34.0,0.97
19101,male,3.1,40.0,0.96
8613,male,3.7,24.5,0.96
2623,female,2.9,40.0,0.96
5988,male,3.0,40.0,0.96
21661,female,3.0,44.0,0.96
5042,female,3.3,33.0,0.96
10710,female,3.0,42.0,0.96
5185,female,3.1,30.5,0.96
5157,male,3.7,37.0,0.96
19058,male,3.3,35.0,0.96
16684,male,3.4,38.0,0.96
6015,female,3.5,33.0,0.96
12025,male,3.2,37.0,0.96
10064,female,3.3,30.0,0.95
21189,female,3.3,41.5,0.95
20248,female,3.8,42.0,0.95
16597,female,3.3,47.0,0.95
9758,female,3.4,37.5,0.95
17463,female,3.4,39.0,0.95
8841,female,3.0,37.0,0.94
5893,male,2.9,33.5,0.94
2211,female,3.1,36.0,0.94
8784,male,2.5,28.0,0.94
4497,female,3.7,35.0,0.94
18510,female,3.8,36.0,0.94
12689,male,3.4,40.0,0.94
7801,female,3.1,40.0,0.94
17311,female,3.4,45.0,0.94
14605,female,3.2,36.0,0.94
7117,female,2.6,27.0,0.94
14023,female,3.3,33.0,0.94
7830,male,3.0,40.0,0.94
15942,male,3.7,40.0,0.94
21695,female,3.2,38.0,0.94
5243,female,3.8,42.0,0.94
15975,male,3.6,29.0,0.94
6671,female,2.5,32.0,0.93
13258,female,3.8,40.0,0.93
19259,male,3.7,30.5,0.93
13266,female,3.4,44.0,0.93
5727,female,3.1,31.0,0.93
2810,male,3.8,37.0,0.93
19271,male,3.5,42.0,0.93
9751,male,3.9,36.0,0.93
19329,female,3.4,37.5,0.93
7729,male,3.2,41.0,0.92
20471,male,3.8,42.0,0.92
402,male,3.4,42.0,0.92
8426,female,3.8,37.0,0.92
7863,male,3.2,40.0,0.92
10671,male,3.7,24.0,0.92
3142,female,3.1,33.0,0.92
11345,male,2.9,39.0,0.92
4943,female,2.5,37.0,0.92
15929,female,3.3,36.0,0.92
15901,male,3.6,28.0,0.92
3442,female,3.0,44.0,0.92
11321,female,3.6,43.0,0.92
14229,female,3.1,36.0,0.92
