Gender,UGPA,LSAT,ZFYA
female,3.5,43.0,2.0
female,3.2,36.0,2.0
male,3.0,48.0,2.0
female,3.6,44.0,2.0
male,2.7,39.0,2.0
male,3.8,35.0,2.0
male,3.4,45.0,1.99
male,3.2,41.0,1.99
female,3.1,48.0,1.99
male,3.5,48.0,1.99
male,3.7,35.0,1.99
female,3.9,36.0,1.99
male,3.9,34.0,1.99
male,3.8,34.0,1.99
male,3.1,30.0,1.99
male,2.9,36.0,1.98
female,3.8,45.0,1.98
male,3.8,38.0,1.98
female,3.5,48.0,1.98
female,3.1,33.0,1.98
male,3.1,46.0,1.98
female,3.1,32.0,1.98
male,3.9,46.0,1.98
male,3.8,47.0,1.98
male,3.0,40.0,1.97
female,3.3,38.0,1.97
male,3.1,37.0,1.97
male,3.4,35.0,1.97
male,3.2,34.0,1.97
female,3.4,38.0,1.97
female,3.5,39.0,1.97
male,3.0,39.0,1.97
male,3.2,29.5,1.97
female,3.2,40.0,1.97
male,3.2,35.0,1.97
male,3.1,43.0,1.97
male,3.1,44.0,1.97
female,3.0,36.0,1.96
male,3.5,37.0,1.96
male,3.0,44.0,1.96
male,2.9,40.0,1.96
male,3.4,46.0,1.96
male,3.3,40.0,1.96
female,4.0,39.5,1.96
female,3.8,40.0,1.96
female,3.4,43.0,1.96
male,2.9,44.0,1.96
female,3.3,40.0,1.96
female,4.0,40.0,1.96
female,2.6,44.0,1.96
female,3.5,42.0,1.95
male,3.5,37.0,1.95
female,4.0,45.0,1.95
female,3.7,39.0,1.95
male,3.6,36.0,1.95
male,3.9,42.0,1.95
female,2.6,31.0,1.95
male,3.6,42.0,1.94
female,3.5,48.0,1.94
male,2.7,46.0,1.94
male,2.9,35.0,1.94
male,3.9,48.0,1.94
female,3.7,48.0,1.94
female,2.6,32.5,1.94
female,3.4,39.0,1.94
male,3.9,41.0,1.94
male,3.7,47.0,1.94
female,3.8,40.0,1.94
male,3.9,47.0,1.94
male,4.0,48.0,1.94
female,2.8,48.0,1.94
female,3.7,37.0,1.94
male,2.4,36.0,1.93
female,4.0,43.0,1.93
male,3.0,33.0,1.93
male,3.7,35.0,1.93
male,2.6,37.0,1.93
male,3.2,35.0,1.93
male,3.4,43.0,1.93
male,3.4,46.0,1.93
female,3.7,38.0,1.93
male,3.9,38.0,1.93
male,4.0,46.0,1.93
female,3.9,37.0,1.93
male,3.4,41.0,1.93
male,3.7,42.0,1.92
male,3.2,40.0,1.92
male,3.9,48.0,1.92
male,2.7,43.0,1.92
male,3.2,47.0,1.92
male,2.9,33.0,1.92
male,3.4,47.0,1.92
female,3.1,46.0,1.92
male,2.4,45.0,1.92
male,3.8,39.0,1.92
female,3.9,36.0,1.92
male,3.6,34.0,1.92
male,3.6,43.0,1.92
female,3.2,38.0,1.92
female,3.7,46.0,1.92
male,2.8,34.0,1.92
male,2.4,47.0,1.91
female,3.1,44.0,1.91
male,2.2,40.0,1.91
female,3.3,38.0,1.91
male,3.2,41.0,1.91
male,2.8,46.0,1.91
male,3.5,42.0,1.91
male,4.0,48.0,1.91
female,3.9,37.0,1.91
male,3.6,43.0,1.91
female,3.1,42.0,1.91
male,3.2,37.0,1.91
female,3.5,40.0,1.9
female,3.7,36.0,1.9
male,3.4,38.0,1.9
female,3.9,47.0,1.9
male,3.4,42.0,1.9
female,3.6,40.0,1.9
female,2.8,35.0,1.9
male,3.6,45.0,1.9
male,3.3,45.0,1.9
female,3.9,36.0,1.9
female,3.4,40.0,1.9
male,3.4,41.0,1.9
male,3.8,44.0,1.9
female,4.0,35.0,1.9
female,3.8,35.0,1.9
male,3.3,42.0,1.9
male,2.9,38.0,1.9
male,3.7,42.0,1.9
male,3.5,34.5,1.89
male,3.5,37.0,1.89
female,3.2,40.0,1.89
male,4.0,43.0,1.89
female,3.0,47.0,1.89
male,3.4,35.0,1.89
female,3.5,42.0,1.89
male,3.7,48.0,1.89
male,3.5,48.0,1.89
male,3.1,36.0,1.89
female,3.9,47.0,1.89
female,3.3,37.0,1.89
female,4.0,37.0,1.88
female,4.0,36.0,1.88
female,3.3,35.0,1.88
female,3.5,41.0,1.88
male,3.0,37.0,1.88
female,3.4,38.0,1.88
male,2.2,42.0,1.88
female,4.0,42.0,1.88
male,3.6,44.0,1.88
male,3.5,34.0,1.88
female,3.7,41.0,1.88
male,3.4,40.0,1.88
male,3.4,45.0,1.88
male,1.5,44.0,1.88
female,3.6,39.0,1.88
male,3.1,34.5,1.88
male,2.6,35.5,1.88
male,2.7,37.0,1.88
female,3.1,31.0,1.87
male,3.2,35.5,1.87
male,3.5,47.0,1.87
female,3.4,45.0,1.87
male,3.2,37.0,1.87
male,2.9,44.0,1.86
female,3.4,40.0,1.86
female,3.1,40.0,1.86
female,3.7,41.0,1.86
female,3.7,41.0,1.86
female,3.1,30.0,1.86
female,3.7,46.0,1.86
male,3.5,37.0,1.86
female,3.6,46.0,1.86
female,3.7,38.0,1.86
female,3.4,39.0,1.85
male,2.7,35.0,1.85
male,3.8,36.0,1.85
male,3.2,40.0,1.85
male,3.8,40.0,1.85
female,3.5,42.0,1.85
male,3.4,46.0,1.85
male,3.2,34.0,1.85
female,4.0,43.0,1.85
male,2.9,41.0,1.85
male,3.6,46.0,1.85
female,3.6,38.0,1.85
male,3.1,40.0,1.85
male,3.4,40.0,1.85
male,3.6,37.0,1.85
female,3.9,45.0,1.85
male,3.8,39.0,1.85
male,3.8,37.0,1.85
male,3.1,35.0,1.84
male,3.0,40.0,1.84
male,3.5,43.5,1.84
male,3.6,39.0,1.84
female,3.5,41.0,1.84
male,3.4,46.0,1.84
female,3.1,38.0,1.84
male,3.2,37.5,1.84
male,3.9,47.0,1.84
male,2.5,39.0,1.84
male,3.1,39.0,1.84
female,3.6,36.0,1.84
female,3.9,37.0,1.84
male,3.6,46.0,1.84
male,3.1,31.0,1.84
male,3.9,40.0,1.84
female,3.9,46.0,1.84
male,3.3,41.5,1.83
male,3.1,36.5,1.83
male,3.5,35.0,1.83
female,3.7,41.0,1.83
female,3.7,42.0,1.83
female,3.9,34.0,1.83
female,2.7,39.0,1.83
male,2.8,39.0,1.83
male,2.8,38.0,1.83
male,3.1,43.0,1.83
female,3.2,40.0,1.83
male,3.7,41.5,1.83
female,3.7,33.0,1.83
male,3.7,46.0,1.83
male,3.2,38.0,1.83
male,3.7,30.0,1.82
female,2.6,40.0,1.82
male,3.0,34.0,1.82
female,3.7,42.0,1.82
male,3.1,39.0,1.82
male,3.2,41.0,1.82
male,3.2,47.0,1.82
female,3.3,43.0,1.82
male,2.9,32.0,1.82
male,3.2,34.5,1.82
male,2.9,42.0,1.82
female,3.7,39.0,1.82
female,2.8,39.0,1.82
male,3.6,42.0,1.82
female,3.6,40.0,1.81
male,3.4,34.0,1.81
female,3.6,40.0,1.81
female,3.8,41.0,1.81
male,3.0,39.0,1.81
male,3.1,34.0,1.81
female,3.4,37.0,1.81
male,3.6,41.0,1.81
female,3.5,42.0,1.81
male,3.8,33.0,1.81
female,3.4,32.5,1.81
male,3.3,27.0,1.81
female,2.9,41.0,1.81
male,3.7,41.0,1.81
male,3.7,32.0,1.81
male,3.3,43.0,1.81
female,3.4,32.5,1.81
male,3.0,46.0,1.8
male,3.2,38.0,1.8
male,3.6,44.0,1.8
female,3.4,37.0,1.8
male,3.7,45.0,1.8
female,3.8,37.0,1.8
male,3.3,43.0,1.8
male,3.5,36.0,1.8
female,3.6,38.0,1.8
female,3.0,41.0,1.8
female,3.8,39.0,1.8
female,3.6,36.0,1.8
male,3.8,42.0,1.8
female,3.3,43.0,1.8
male,3.6,37.0,1.79
male,3.3,39.0,1.79
male,3.8,35.0,1.79
male,3.7,45.0,1.79
female,3.8,36.0,1.79
female,2.9,48.0,1.79
male,3.9,40.0,1.79
male,2.5,26.0,1.79
female,4.0,44.0,1.79
male,3.4,34.0,1.79
male,3.6,30.0,1.79
female,3.8,40.0,1.78
female,3.8,37.0,1.78
male,3.7,47.0,1.78
male,3.2,48.0,1.78
female,3.6,45.0,1.78
male,3.2,37.0,1.78
female,3.6,35.0,1.78
female,3.3,42.0,1.78
female,3.9,36.0,1.78
male,3.4,43.0,1.78
male,3.5,39.0,1.78
female,3.9,47.0,1.78
male,3.6,42.0,1.78
female,3.8,48.0,1.78
male,3.5,42.0,1.78
female,3.2,36.0,1.78
male,4.0,34.0,1.78
male,3.3,32.0,1.78
female,3.1,35.0,1.77
female,3.4,37.0,1.77
male,2.7,42.0,1.77
male,3.6,45.0,1.77
female,2.7,48.0,1.77
male,4.1,43.0,1.77
female,3.2,47.0,1.77
female,3.3,31.0,1.77
male,2.5,40.0,1.77
male,3.9,36.0,1.77
male,2.9,36.0,1.77
male,3.3,41.0,1.77
female,4.0,43.0,1.77
male,3.4,39.0,1.77
male,3.1,39.0,1.77
male,3.3,40.0,1.77
male,2.8,40.0,1.77
male,3.7,48.0,1.77
female,2.7,42.0,1.77
female,3.3,38.0,1.77
female,3.7,40.0,1.77
male,3.0,41.0,1.77
male,3.7,48.0,1.77
male,3.4,43.0,1.77
female,3.3,40.0,1.76
female,3.2,41.0,1.76
male,3.6,40.0,1.76
male,2.5,38.0,1.76
male,3.3,35.0,1.76
female,3.3,40.0,1.76
female,3.7,39.0,1.76
female,2.7,40.0,1.76
male,3.8,48.0,1.76
female,3.7,32.0,1.76
female,3.8,43.0,1.76
male,3.8,43.0,1.76
male,3.0,33.0,1.76
female,3.6,43.0,1.76
female,3.7,40.0,1.75
male,3.0,42.0,1.75
male,2.7,31.0,1.75
female,2.4,30.0,1.75
female,3.8,41.0,1.75
male,2.6,33.0,1.75
male,3.9,48.0,1.75
female,3.6,29.5,1.75
female,3.3,34.0,1.75
male,2.6,38.0,1.75
female,3.9,45.0,1.75
male,3.5,34.0,1.75
female,3.6,32.0,1.75
male,3.8,40.0,1.75
male,3.4,41.0,1.74
female,3.8,29.7,1.74
male,2.7,42.0,1.74
male,3.4,38.0,1.74
male,3.3,37.0,1.74
female,3.9,44.0,1.74
male,3.5,48.0,1.74
male,3.0,42.0,1.74
male,3.9,40.0,1.74
female,3.5,35.5,1.74
female,2.9,46.0,1.74
male,3.1,44.0,1.74
male,2.9,35.0,1.74
female,3.1,35.0,1.74
male,3.8,41.0,1.73
male,3.9,46.0,1.73
male,3.3,44.0,1.73
female,4.0,39.0,1.73
male,2.6,42.0,1.73
male,3.8,40.0,1.73
male,3.1,34.0,1.73
male,3.4,34.0,1.73
female,3.8,41.0,1.73
male,3.8,42.0,1.73
male,3.4,42.0,1.73
male,3.6,35.0,1.73
male,2.6,31.0,1.73
male,2.4,38.0,1.73
female,4.2,48.0,1.73
female,3.1,34.0,1.73
male,3.9,38.0,1.73
female,3.6,38.0,1.73
female,3.6,25.0,1.73
female,3.5,47.0,1.73
male,2.9,46.0,1.73
male,3.3,43.0,1.73
male,3.0,35.0,1.73
female,3.6,40.0,1.73
male,3.7,44.0,1.72
male,3.0,37.0,1.72
male,3.1,27.0,1.72
male,4.0,39.0,1.72
male,3.7,33.0,1.72
male,2.8,41.5,1.72
male,3.3,33.7,1.72
male,3.2,38.5,1.72
female,3.8,40.0,1.72
female,2.2,39.0,1.72
male,3.4,40.0,1.72
female,3.3,37.0,1.72
male,3.4,38.0,1.72
female,2.9,35.0,1.72
male,3.5,44.0,1.72
male,3.3,46.0,1.72
female,3.8,29.0,1.72
male,3.2,43.0,1.72
male,3.8,45.0,1.71
female,3.1,35.0,1.71
female,4.0,38.0,1.71
male,3.9,45.0,1.71
male,3.4,39.0,1.71
male,3.7,45.0,1.71
female,2.8,31.0,1.71
female,3.7,36.0,1.71
male,3.4,38.0,1.71
male,2.0,44.0,1.71
female,3.8,37.0,1.71
female,3.6,48.0,1.71
male,4.0,47.0,1.71
female,3.8,42.0,1.71
male,3.9,36.0,1.71
male,2.9,40.0,1.71
male,3.0,39.0,1.71
female,4.0,42.0,1.71
female,3.8,40.0,1.71
female,3.5,37.0,1.71
male,2.0,40.0,1.71
female,3.6,40.0,1.71
female,3.6,40.0,1.71
female,3.2,40.0,1.71
male,3.2,30.5,1.71
female,4.0,38.0,1.7
female,4.1,44.0,1.7
female,3.9,37.0,1.7
female,3.9,33.0,1.7
male,3.4,34.0,1.7
male,3.1,36.0,1.7
male,3.7,42.0,1.7
male,2.5,39.0,1.7
male,3.2,42.0,1.7
male,2.8,41.0,1.7
female,2.9,35.0,1.7
female,3.4,39.0,1.7
male,3.4,34.0,1.7
female,3.7,41.0,1.7
female,3.5,44.0,1.7
male,2.5,38.0,1.7
female,3.0,39.0,1.7
male,3.1,40.0,1.7
female,4.0,42.0,1.7
female,2.8,39.0,1.69
male,3.3,48.0,1.69
female,3.5,41.0,1.69
male,3.1,40.0,1.69
male,3.9,25.0,1.69
female,4.0,33.0,1.69
male,3.9,38.0,1.69
male,3.2,39.0,1.69
male,2.6,37.0,1.69
male,3.6,42.0,1.69
female,3.7,38.0,1.69
male,3.8,38.0,1.69
male,2.8,40.0,1.69
female,3.4,45.0,1.68
female,3.4,33.0,1.68
male,2.6,39.0,1.68
male,2.8,41.0,1.68
male,3.7,38.0,1.68
female,3.4,40.0,1.68
male,3.6,34.5,1.68
female,3.2,44.0,1.68
male,2.9,38.0,1.68
male,3.7,43.0,1.68
male,2.1,38.0,1.68
female,2.9,44.0,1.68
female,3.2,43.0,1.68
male,3.6,34.0,1.68
male,2.8,30.0,1.68
male,3.3,36.5,1.67
male,3.2,39.0,1.67
female,2.8,42.0,1.67
female,4.0,42.0,1.67
male,3.0,33.0,1.67
male,2.4,41.5,1.67
female,4.0,39.0,1.67
male,3.8,41.0,1.67
female,2.9,36.0,1.67
male,3.7,30.0,1.67
male,3.5,43.0,1.67
male,3.5,37.0,1.67
male,2.7,39.0,1.67
male,3.0,36.0,1.67
male,3.3,36.0,1.67
male,3.7,45.0,1.67
male,2.9,39.0,1.67
male,3.1,32.0,1.67
male,4.0,47.0,1.67
male,3.7,31.0,1.66
female,3.7,30.0,1.66
male,3.3,37.5,1.66
female,3.5,37.0,1.66
male,3.6,43.0,1.66
male,2.3,33.5,1.66
male,3.7,41.0,1.66
male,3.4,36.0,1.66
male,3.6,39.0,1.66
female,3.7,38.0,1.66
male,3.9,40.0,1.66
female,2.4,37.0,1.66
female,3.0,37.0,1.66
male,3.4,36.0,1.66
female,3.4,41.0,1.66
male,3.6,37.0,1.66
male,3.5,41.0,1.66
male,3.2,44.0,1.66
male,3.1,39.0,1.66
female,3.6,38.0,1.66
male,3.9,40.0,1.66
male,3.1,41.0,1.65
male,3.8,38.0,1.65
male,2.4,44.0,1.65
male,2.6,27.0,1.65
male,3.2,32.0,1.65
male,2.3,36.0,1.65
female,3.6,42.0,1.65
male,3.4,44.0,1.65
female,3.2,44.0,1.65
male,3.6,39.0,1.65
female,3.7,41.0,1.65
male,3.0,33.0,1.65
male,3.1,42.0,1.65
female,3.5,37.0,1.65
male,2.9,37.0,1.65
male,3.0,30.5,1.65
male,3.2,38.0,1.65
female,3.3,34.0,1.65
female,3.4,33.0,1.65
male,2.1,39.0,1.65
female,3.9,35.0,1.65
male,4.0,40.0,1.65
female,3.2,40.0,1.64
male,3.4,31.0,1.64
male,3.3,38.0,1.64
female,3.3,44.0,1.64
male,3.4,36.0,1.64
female,3.8,39.0,1.64
female,3.2,41.0,1.64
male,2.5,39.0,1.64
male,3.6,36.0,1.64
female,3.6,26.0,1.64
female,2.9,39.0,1.64
male,4.0,41.0,1.64
female,3.3,32.0,1.64
male,3.9,32.0,1.64
male,2.9,41.0,1.64
male,3.1,39.0,1.64
female,3.9,37.0,1.64
male,3.4,32.0,1.64
female,3.7,47.0,1.64
male,3.1,33.5,1.64
male,3.9,38.0,1.63
female,2.8,44.0,1.63
female,3.4,41.0,1.63
male,3.5,47.0,1.63
female,3.7,44.0,1.63
male,3.6,29.5,1.63
female,3.6,39.0,1.63
female,3.6,42.0,1.63
male,3.5,42.0,1.63
male,2.5,42.0,1.63
male,3.5,35.0,1.63
male,3.5,44.0,1.63
male,2.7,39.0,1.63
male,3.6,39.0,1.63
female,3.6,42.0,1.63
female,3.8,44.0,1.63
male,2.9,33.0,1.62
male,3.9,38.5,1.62
male,3.2,37.5,1.62
male,3.3,40.0,1.62
male,3.4,33.0,1.62
male,3.1,40.0,1.62
male,3.7,29.0,1.62
female,3.5,44.0,1.62
male,3.0,38.0,1.62
male,4.0,47.0,1.62
female,2.7,40.0,1.62
female,3.6,44.0,1.62
female,3.6,37.0,1.62
female,3.8,42.0,1.62
female,2.3,34.0,1.62
female,3.3,41.0,1.62
female,4.0,44.0,1.62
male,2.9,39.0,1.62
male,3.2,39.0,1.62
male,3.8,32.0,1.62
male,2.8,34.0,1.62
female,2.2,43.0,1.62
male,3.1,36.0,1.62
male,3.7,32.0,1.62
male,4.0,36.0,1.61
male,2.8,26.5,1.61
male,2.4,42.0,1.61
female,2.9,44.0,1.61
male,3.6,40.0,1.61
female,2.9,40.0,1.61
female,3.2,34.5,1.61
male,3.8,36.0,1.61
female,3.7,36.5,1.61
female,3.7,40.0,1.61
female,3.5,38.0,1.61
male,4.0,35.0,1.61
female,3.4,30.0,1.61
male,2.7,40.0,1.61
female,3.9,47.0,1.61
male,2.5,39.0,1.61
male,3.8,48.0,1.61
male,2.9,34.0,1.61
female,3.5,35.5,1.61
male,3.5,45.0,1.61
male,2.1,39.0,1.61
female,3.1,36.0,1.61
male,2.9,34.0,1.61
male,2.4,41.0,1.61
male,3.4,39.0,1.61
male,3.1,44.0,1.61
female,3.4,39.0,1.61
male,2.9,43.0,1.61
female,3.4,39.0,1.61
male,3.9,39.0,1.6
male,3.5,43.0,1.6
female,3.5,36.0,1.6
male,3.9,41.0,1.6
female,3.4,41.0,1.6
male,3.6,38.0,1.6
female,3.9,42.0,1.6
female,3.8,41.0,1.6
male,2.6,36.0,1.6
male,3.0,42.0,1.6
male,3.4,38.0,1.6
male,3.8,47.0,1.6
male,2.9,34.0,1.6
male,3.8,42.0,1.6
male,2.6,33.5,1.6
male,3.2,38.0,1.6
male,3.1,35.0,1.6
male,3.6,34.0,1.6
male,3.9,43.0,1.6
female,3.4,32.0,1.6
female,3.7,48.0,1.6
female,3.2,35.0,1.6
female,3.3,39.0,1.6
male,2.5,40.0,1.59
male,3.4,36.0,1.59
